episode,score,score_avg
1,33.0,33.0
2,31.0,32.0
3,26.0,30.0
4,70.0,40.0
5,25.0,37.0
6,34.0,36.5
7,31.0,35.714285714285715
8,37.0,35.875
9,52.0,37.666666666666664
10,42.0,38.1
11,31.0,37.9
12,30.0,37.8
13,52.0,40.4
14,34.0,36.8
15,31.0,37.4
16,34.0,37.4
17,40.0,38.3
18,35.0,38.1
19,33.0,36.2
20,31.0,35.1
21,51.0,37.1
22,23.0,36.4
23,62.0,37.4
24,36.0,37.6
25,42.0,38.7
26,31.0,38.4
27,33.0,37.7
28,35.0,37.7
29,38.0,38.2
30,26.0,37.7
31,34.0,36.0
32,31.0,36.8
33,32.0,33.8
34,41.0,34.3
35,37.0,33.8
36,35.0,34.2
37,31.0,34.0
38,23.0,32.8
39,36.0,32.6
40,30.0,33.0
41,32.0,32.8
42,30.0,32.7
43,29.0,32.4
44,62.0,34.5
45,46.0,35.4
46,37.0,35.6
47,26.0,35.1
48,38.0,36.6
49,27.0,35.7
50,31.0,35.8
51,28.0,35.4
52,34.0,35.8
53,39.0,36.8
54,36.0,34.2
55,35.0,33.1
56,23.0,31.7
57,27.0,31.8
58,45.0,32.5
59,49.0,34.7
60,72.0,38.8
61,27.0,38.7
62,38.0,39.1
63,31.0,38.3
64,47.0,39.4
65,54.0,41.3
66,41.0,43.1
67,34.0,43.8
68,34.0,42.7
69,41.0,41.9
70,46.0,39.3
71,37.0,40.3
72,41.0,40.6
73,31.0,40.6
74,36.0,39.5
75,34.0,37.5
76,30.0,36.4
77,38.0,36.8
78,28.0,36.2
79,32.0,35.3
80,31.0,33.8
81,41.0,34.2
82,39.0,34.0
83,36.0,34.5
84,31.0,34.0
85,28.0,33.4
86,38.0,34.2
87,35.0,33.9
88,74.0,38.5
89,48.0,40.1
90,32.0,40.2
91,44.0,40.5
92,65.0,43.1
93,47.0,44.2
94,33.0,44.4
95,32.0,44.8
96,45.0,45.5
97,45.0,46.5
98,25.0,41.6
99,68.0,43.6
100,53.0,45.7
101,41.0,45.4
102,28.0,41.7
103,36.0,40.6
104,29.0,40.2
105,47.0,41.7
106,54.0,42.6
107,34.0,41.5
108,29.0,41.9
109,43.0,39.4
110,56.0,39.7
111,46.0,40.2
112,82.0,45.6
113,29.0,44.9
114,67.0,48.7
115,33.0,47.3
116,25.0,44.4
117,37.0,44.7
118,38.0,45.6
119,50.0,46.3
120,71.0,47.8
121,46.0,47.8
122,46.0,44.2
123,30.0,44.3
124,45.0,42.1
125,34.0,42.2
126,43.0,44.0
127,29.0,43.2
128,40.0,43.4
129,44.0,42.8
130,42.0,39.9
131,31.0,38.4
132,29.0,36.7
133,29.0,36.6
134,61.0,38.2
135,46.0,39.4
136,28.0,37.9
137,42.0,39.2
138,36.0,38.8
139,21.0,36.5
140,23.0,34.6
141,35.0,35.0
142,76.0,39.7
143,64.0,43.2
144,32.0,40.3
145,47.0,40.4
146,30.0,40.6
147,29.0,39.3
148,70.0,42.7
149,38.0,44.4
150,74.0,49.5
151,49.0,50.9
152,74.0,50.7
153,42.0,48.5
154,46.0,49.9
155,37.0,48.9
156,52.0,51.1
157,33.0,51.5
158,25.0,47.0
159,46.0,47.8
160,56.0,46.0
161,30.0,44.1
162,37.0,40.4
163,75.0,43.7
164,23.0,41.4
165,62.0,43.9
166,21.0,40.8
167,43.0,41.8
168,52.0,44.5
169,57.0,45.6
170,34.0,43.4
171,28.0,43.2
172,25.0,42.0
173,40.0,38.5
174,69.0,43.1
175,35.0,40.4
176,60.0,44.3
177,42.0,44.2
178,38.0,42.8
179,38.0,40.9
180,31.0,40.6
181,59.0,43.7
182,28.0,44.0
183,38.0,43.8
184,43.0,41.2
185,58.0,43.5
186,35.0,41.0
187,41.0,40.9
188,32.0,40.3
189,63.0,42.8
190,34.0,43.1
191,34.0,40.6
192,62.0,44.0
193,64.0,46.6
194,61.0,48.4
195,48.0,47.4
196,77.0,51.6
197,57.0,53.2
198,92.0,59.2
199,116.0,64.5
200,29.0,64.0
201,68.0,67.4
202,53.0,66.5
203,35.0,63.6
204,57.0,63.2
205,82.0,66.6
206,58.0,64.7
207,51.0,64.1
208,24.0,57.3
209,54.0,51.1
210,33.0,51.5
211,164.0,61.1
212,45.0,60.3
213,62.0,63.0
214,77.0,65.0
215,63.0,63.1
216,50.0,62.3
217,31.0,60.3
218,62.0,64.1
219,37.0,62.4
220,45.0,63.6
221,32.0,50.4
222,59.0,51.8
223,34.0,49.0
224,77.0,49.0
225,29.0,45.6
226,55.0,46.1
227,47.0,47.7
228,58.0,47.3
229,40.0,47.6
230,46.0,47.7
231,54.0,49.9
232,45.0,48.5
233,32.0,48.3
234,43.0,44.9
235,78.0,49.8
236,45.0,48.8
237,85.0,52.6
238,48.0,51.6
239,62.0,53.8
240,41.0,53.3
241,52.0,53.1
242,43.0,52.9
243,57.0,55.4
244,62.0,57.3
245,56.0,55.1
246,37.0,54.3
247,34.0,49.2
248,59.0,50.3
249,49.0,49.0
250,58.0,50.7
251,48.0,50.3
252,79.0,53.9
253,64.0,54.6
254,62.0,54.6
255,114.0,60.4
256,70.0,63.7
257,56.0,65.9
258,65.0,66.5
259,51.0,66.7
260,118.0,72.7
261,63.0,74.2
262,49.0,71.2
263,51.0,69.9
264,72.0,70.9
265,43.0,63.8
266,36.0,60.4
267,56.0,60.4
268,40.0,57.9
269,70.0,59.8
270,62.0,54.2
271,46.0,52.5
272,35.0,51.1
273,55.0,51.5
274,74.0,51.7
275,53.0,52.7
276,63.0,55.4
277,57.0,55.5
278,48.0,56.3
279,88.0,58.1
280,58.0,57.7
281,89.0,62.0
282,58.0,64.3
283,102.0,69.0
284,106.0,72.2
285,97.0,76.6
286,40.0,74.3
287,65.0,75.1
288,39.0,74.2
289,60.0,71.4
290,82.0,73.8
291,34.0,68.3
292,61.0,68.6
293,73.0,65.7
294,42.0,59.3
295,51.0,54.7
296,76.0,58.3
297,69.0,58.7
298,81.0,62.9
299,88.0,65.7
300,72.0,64.7
301,50.0,66.3
302,58.0,66.0
303,48.0,63.5
304,78.0,67.1
305,133.0,75.3
306,83.0,76.0
307,59.0,75.0
308,108.0,77.7
309,61.0,75.0
310,48.0,72.6
311,80.0,75.6
312,42.0,74.0
313,104.0,79.6
314,57.0,77.5
315,67.0,70.9
316,100.0,72.6
317,107.0,77.4
318,77.0,74.3
319,79.0,76.1
320,58.0,77.1
321,71.0,76.2
322,65.0,78.5
323,59.0,74.0
324,66.0,74.9
325,50.0,73.2
326,67.0,69.9
327,63.0,65.5
328,65.0,64.3
329,72.0,63.6
330,62.0,64.0
331,66.0,63.5
332,43.0,61.3
333,73.0,62.7
334,56.0,61.7
335,59.0,62.6
336,54.0,61.3
337,59.0,60.9
338,55.0,59.9
339,59.0,58.6
340,136.0,66.0
341,105.0,69.9
342,60.0,71.6
343,132.0,77.5
344,65.0,78.4
345,62.0,78.7
346,79.0,81.2
347,199.0,95.2
348,82.0,97.9
349,133.0,105.3
350,92.0,100.9
351,59.0,96.3
352,77.0,98.0
353,162.0,101.0
354,64.0,100.9
355,124.0,107.1
356,78.0,107.0
357,55.0,92.6
358,77.0,92.1
359,100.0,88.8
360,76.0,87.2
361,57.0,87.0
362,63.0,85.6
363,66.0,76.0
364,75.0,77.1
365,144.0,79.1
366,105.0,81.8
367,77.0,84.0
368,67.0,83.0
369,79.0,80.9
370,81.0,81.4
371,59.0,81.6
372,103.0,85.6
373,102.0,89.2
374,140.0,95.7
375,93.0,90.6
376,85.0,88.6
377,60.0,86.9
378,62.0,86.4
379,54.0,83.9
380,109.0,86.7
381,63.0,87.1
382,66.0,83.4
383,76.0,80.8
384,91.0,75.9
385,103.0,76.9
386,67.0,75.1
387,133.0,82.4
388,56.0,81.8
389,85.0,84.9
390,81.0,82.1
391,60.0,81.8
392,109.0,86.1
393,71.0,85.6
394,104.0,86.9
395,72.0,83.8
396,108.0,87.9
397,85.0,83.1
398,102.0,87.7
399,64.0,85.6
400,82.0,85.7
401,136.0,93.3
402,173.0,99.7
403,50.0,97.6
404,62.0,93.4
405,81.0,94.3
406,66.0,90.1
407,62.0,87.8
408,69.0,84.5
409,102.0,88.3
410,62.0,86.3
411,130.0,85.7
412,61.0,74.5
413,192.0,88.7
414,72.0,89.7
415,130.0,94.6
416,112.0,99.2
417,125.0,105.5
418,91.0,107.7
419,57.0,103.2
420,150.0,112.0
421,44.0,103.4
422,81.0,105.4
423,87.0,94.9
424,101.0,97.8
425,102.0,95.0
426,97.0,93.5
427,117.0,92.7
428,65.0,90.1
429,81.0,92.5
430,69.0,84.4
431,60.0,86.0
432,53.0,83.2
433,60.0,80.5
434,70.0,77.4
435,64.0,73.6
436,99.0,73.8
437,70.0,69.1
438,68.0,69.4
439,82.0,69.5
440,68.0,69.4
441,109.0,74.3
442,101.0,79.1
443,57.0,78.8
444,58.0,77.6
445,62.0,77.4
446,64.0,73.9
447,58.0,72.7
448,71.0,73.0
449,73.0,72.1
450,200.0,85.3
451,69.0,81.3
452,99.0,81.1
453,81.0,83.5
454,66.0,84.3
455,69.0,85.0
