episode,score,score_avg
1,33.0,33.0
2,40.0,36.5
3,31.0,34.666666666666664
4,66.0,42.5
5,24.0,38.8
6,33.0,37.833333333333336
7,36.0,37.57142857142857
8,37.0,37.5
9,38.0,37.55555555555556
10,32.0,37.0
11,30.0,36.7
12,27.0,35.4
13,43.0,36.6
14,62.0,36.2
15,30.0,36.8
16,34.0,36.9
17,47.0,38.0
18,46.0,38.9
19,42.0,39.3
20,28.0,38.9
21,43.0,40.2
22,40.0,41.5
23,23.0,39.5
24,26.0,35.9
25,36.0,36.5
26,30.0,36.1
27,30.0,34.4
28,31.0,32.9
29,29.0,31.6
30,28.0,31.6
31,33.0,30.6
32,36.0,30.2
33,35.0,31.4
34,37.0,32.5
35,39.0,32.8
36,35.0,33.3
37,26.0,32.9
38,59.0,35.7
39,42.0,37.0
40,35.0,37.7
41,67.0,41.1
42,34.0,40.9
43,42.0,41.6
44,40.0,41.9
45,39.0,41.9
46,56.0,44.0
47,90.0,50.4
48,36.0,48.1
49,39.0,47.8
50,42.0,48.5
51,29.0,44.7
52,29.0,44.2
53,27.0,42.7
54,46.0,43.3
55,46.0,44.0
56,32.0,41.6
57,29.0,35.5
58,33.0,35.2
59,31.0,34.4
60,46.0,34.8
61,41.0,36.0
62,73.0,40.4
63,28.0,40.5
64,29.0,38.8
65,53.0,39.5
66,37.0,40.0
67,40.0,41.1
68,36.0,41.4
69,23.0,40.6
70,43.0,40.3
71,68.0,43.0
72,60.0,41.7
73,96.0,48.5
74,33.0,48.9
75,40.0,47.6
76,35.0,47.4
77,30.0,46.4
78,74.0,50.2
79,23.0,50.2
80,31.0,49.0
81,40.0,46.2
82,19.0,42.1
83,34.0,35.9
84,41.0,36.7
85,67.0,39.4
86,31.0,39.0
87,40.0,40.0
88,32.0,35.8
89,38.0,37.3
90,69.0,41.1
91,28.0,39.9
92,36.0,41.6
93,28.0,41.0
94,42.0,41.1
95,31.0,37.5
96,26.0,37.0
97,27.0,35.7
98,29.0,35.4
99,40.0,35.6
100,33.0,32.0
101,61.0,35.3
102,35.0,35.2
103,62.0,38.6
104,36.0,38.0
105,31.0,38.0
106,45.0,39.9
107,32.0,40.4
108,37.0,41.2
109,39.0,41.1
110,26.0,40.4
111,51.0,39.4
112,48.0,40.7
113,33.0,37.8
114,29.0,37.1
115,55.0,39.5
116,27.0,37.7
117,37.0,38.2
118,83.0,42.8
119,38.0,42.7
120,75.0,47.6
121,42.0,46.7
122,24.0,44.3
123,29.0,43.9
124,50.0,46.0
125,42.0,44.7
126,55.0,47.5
127,24.0,46.2
128,27.0,40.6
129,23.0,39.1
130,26.0,34.2
131,43.0,34.3
132,36.0,35.5
133,41.0,36.7
134,49.0,36.6
135,36.0,36.0
136,79.0,38.4
137,56.0,41.6
138,51.0,44.0
139,47.0,46.4
140,46.0,48.4
141,28.0,46.9
142,80.0,51.3
143,41.0,51.3
144,48.0,51.2
145,29.0,50.5
146,52.0,47.8
147,35.0,45.7
148,50.0,45.6
149,43.0,45.2
150,68.0,47.4
151,37.0,48.3
152,40.0,44.3
153,28.0,43.0
154,27.0,40.9
155,28.0,40.8
156,29.0,38.5
157,35.0,38.5
158,32.0,36.7
159,34.0,35.8
160,36.0,32.6
161,33.0,32.2
162,62.0,34.4
163,28.0,34.4
164,27.0,34.4
165,57.0,37.3
166,34.0,37.8
167,78.0,42.1
168,47.0,43.6
169,37.0,43.9
170,28.0,43.1
171,32.0,43.0
172,32.0,40.0
173,28.0,40.0
174,44.0,41.7
175,32.0,39.2
176,35.0,39.3
177,45.0,36.0
178,39.0,35.2
179,36.0,35.1
180,51.0,37.4
181,26.0,36.8
182,24.0,36.0
183,31.0,36.3
184,59.0,37.8
185,29.0,37.5
186,34.0,37.4
187,39.0,36.8
188,38.0,36.7
189,40.0,37.1
190,50.0,37.0
191,50.0,39.4
192,38.0,40.8
193,25.0,40.2
194,63.0,40.6
195,27.0,40.4
196,43.0,41.3
197,21.0,39.5
198,33.0,39.0
199,42.0,39.2
200,26.0,36.8
201,39.0,35.7
202,25.0,34.4
203,35.0,35.4
204,23.0,31.4
205,25.0,31.2
206,37.0,30.6
207,51.0,33.6
208,45.0,34.8
209,34.0,34.0
210,24.0,33.8
211,26.0,32.5
212,60.0,36.0
213,35.0,36.0
214,27.0,36.4
215,32.0,37.1
216,39.0,37.3
217,51.0,37.3
218,47.0,37.5
219,27.0,36.8
220,30.0,37.4
221,42.0,39.0
222,61.0,39.1
223,47.0,40.3
224,41.0,41.7
225,23.0,40.8
226,59.0,42.8
227,58.0,43.5
228,37.0,42.5
229,31.0,42.9
230,71.0,47.0
231,65.0,49.3
232,28.0,46.0
233,53.0,46.6
234,63.0,48.8
235,55.0,52.0
236,28.0,48.9
237,24.0,45.5
238,24.0,44.2
239,41.0,45.2
240,65.0,44.6
241,26.0,40.7
242,34.0,41.3
243,27.0,38.7
244,37.0,36.1
245,32.0,33.8
246,51.0,36.1
247,42.0,37.9
248,44.0,39.9
249,33.0,39.1
250,29.0,35.5
251,52.0,38.1
252,50.0,39.7
253,34.0,40.4
254,33.0,40.0
255,58.0,42.6
256,33.0,40.8
257,27.0,39.3
258,38.0,38.7
259,43.0,39.7
260,25.0,39.3
261,33.0,37.4
262,38.0,36.2
263,25.0,35.3
264,54.0,37.4
265,66.0,38.2
266,55.0,40.4
267,93.0,47.0
268,41.0,47.3
269,42.0,47.2
270,71.0,51.8
271,26.0,51.1
272,54.0,52.7
273,37.0,53.9
274,32.0,51.7
275,32.0,48.3
276,45.0,47.3
277,34.0,41.4
278,76.0,44.9
279,42.0,44.9
280,28.0,40.6
281,32.0,41.2
282,42.0,40.0
283,22.0,38.5
284,37.0,39.0
285,47.0,40.5
286,46.0,40.6
287,40.0,41.2
288,27.0,36.3
289,32.0,35.3
290,47.0,37.2
291,36.0,37.6
292,27.0,36.1
293,53.0,39.2
294,52.0,40.7
295,38.0,39.8
296,27.0,37.9
297,26.0,36.5
298,37.0,37.5
299,35.0,37.8
300,30.0,36.1
301,46.0,37.1
302,36.0,38.0
303,48.0,37.5
304,43.0,36.6
305,44.0,37.2
306,38.0,38.3
307,42.0,39.9
308,83.0,44.5
309,55.0,46.5
310,38.0,47.3
311,48.0,47.5
312,38.0,47.7
313,76.0,50.5
314,35.0,49.7
315,63.0,51.6
316,50.0,52.8
317,38.0,52.4
318,30.0,47.1
319,35.0,45.1
320,25.0,43.8
321,60.0,45.0
322,41.0,45.3
323,37.0,41.4
324,26.0,40.5
325,34.0,37.6
326,46.0,37.2
327,30.0,36.4
328,58.0,39.2
329,24.0,38.1
330,43.0,39.9
331,49.0,38.8
332,45.0,39.2
333,37.0,39.2
