episode,score,score_avg
1,343.3423051745676,343.3423051745676
2,343.79725750648583,343.56978134052673
3,399.92879522076487,362.35611930060605
4,353.2522899798706,360.0801619704222
5,222.48662203424806,332.56145398318733
6,503.099301932451,360.984428641398
7,287.8192772809419,350.5322641613329
8,222.5256317757497,334.531435113135
9,316.3651846067233,332.5129628346448
10,344.22931176646836,333.68459772782717
11,371.709468864053,336.52131409677565
12,418.3584523587281,343.9774335819999
13,278.07381067130206,331.79193512705353
14,250.7673682237802,321.54344295144455
15,399.5523072318596,339.2500114712057
16,232.11803123454877,312.1518844014155
17,287.8160279984355,312.15155947316487
18,176.12882683306,307.5118789788959
19,389.53959142361555,314.8293196605851
20,455.9879076582812,326.00517924976634
21,278.46182581960323,316.6804149453214
22,231.54396842071603,297.9989665515202
23,231.88832803871873,293.38041828826186
24,278.40348870071495,296.14403033595534
25,362.42047885203766,292.43084749797316
26,343.81909163593446,303.60095353811175
27,306.2694307939324,305.4462938176614
28,240.74023958589103,311.9074350929445
29,325.4293121817423,305.4964071687572
30,259.5413824086207,285.85175464379114
31,334.5221523253749,291.45778729436836
32,203.39203902015285,288.642594354312
33,306.8062045956484,296.13438201000497
34,269.49988892160115,295.2440220320936
35,241.37552003105645,283.1395261499955
36,241.00034669743926,272.857651656146
37,222.47192937653617,264.4779015144063
38,269.4555457774872,267.349432133566
39,203.82271500741223,255.1887724161329
40,362.3237905492457,265.46701323019545
41,194.83806886377923,251.49860488403587
42,315.5255585859712,262.71195684061775
43,222.00680201246553,254.23201658229942
44,194.26007346190926,246.7080350363302
45,307.1704205281805,253.28752508604262
46,250.6044448377553,254.24793490007423
47,269.2551356374309,258.92625552616374
48,241.0589148294315,256.08659243135816
49,241.24895098380836,259.8292160289978
50,231.94560724942656,246.79139769901585
51,352.9416708828322,262.60175790092114
52,296.6435437482285,260.71355641714683
53,287.5382580211142,267.2667020180117
54,260.26827861107733,273.86752253292855
55,325.074690092856,275.6579494893961
56,175.8067506629469,268.1781800719153
57,316.0547112984853,272.85813763802065
58,316.2182992567574,280.3740760807533
59,222.51795707438495,278.50097668981095
60,241.55686915901805,279.4621028807701
61,287.9449206492681,272.9624278574137
62,241.60809005626732,267.45888248821757
63,287.7555065725805,267.4806073433642
64,259.9915030333075,267.4529297855872
65,324.9631657408607,267.4417773503877
66,222.21125329362806,272.08222761345576
67,540.4641985425019,294.5231763378575
68,278.2482578848155,290.7261722006632
69,306.32206083792624,299.1065825770173
70,185.2557753921162,293.4764732003272
71,278.12453869660146,292.4944350050605
72,213.1516902475121,289.648795024185
73,241.09256121710726,284.9825004886377
74,222.83340320131668,281.2666905054386
75,343.77149068503445,283.14752299985605
76,259.92435089797647,286.9188327602908
77,231.62991423650962,256.03540432969163
78,269.3463970179287,255.14521824300292
79,325.01656525959845,257.01466868517014
80,287.62356034693306,267.2514471806518
81,502.87930169796107,289.72692348078783
82,268.83069811799686,295.29482426783625
83,465.2458720446575,317.71015535059126
84,399.2129149753952,335.3481065279991
85,268.9644629608175,327.8674037555774
86,380.85611309421336,339.9605799752011
87,296.679500047442,346.4655385562944
88,343.2742554721438,353.85832440171595
89,306.42557651093557,351.9992255268496
90,250.4571878021956,348.28258827237585
91,213.11667340532497,319.30632544311226
92,325.05239389953493,324.92849502126603
93,362.2059670917723,314.6245045259775
94,306.3336002891966,305.33657305735767
95,268.79591024951463,305.3197177862274
96,381.5055429071593,305.384660767522
97,269.084685342231,302.62517929700084
98,259.4390245771823,294.24165620750466
99,240.63781675538522,287.6628802319497
100,418.47054124267356,304.4642155759975
101,250.00130591855006,308.15267882732
102,399.7801231285788,315.62545175022433
103,427.2526711780087,322.130122158848
104,390.3634159198251,330.53310372191083
105,249.92446632366145,328.64595932932554
106,287.63031218045495,319.25843625665505
107,334.39791566499304,325.78975928893135
108,334.2282030318195,333.268677134395
109,306.04777635061737,339.8096730939182
110,623.1569768121492,360.2783166508658
111,558.592105856621,391.13739664467295
112,324.8064110075499,383.64002543257
113,334.45519053650816,374.36027736842
114,418.77272511002786,377.20120828744024
115,287.46174784550306,380.95493643962436
116,296.91845240626395,381.8837504622053
117,502.78861490376823,398.7228203860828
118,277.74424456673336,393.0744245395742
119,334.4120863014822,395.9108555346607
120,540.103446708766,387.6055025243224
121,409.45601777288283,372.69189371594854
122,427.92991217282747,383.0042438324763
123,381.00160924298956,387.65888570312444
124,296.58095118586226,375.43970831070794
125,343.5742149722297,381.0509550233806
126,352.81021175077353,386.6401309578315
127,455.9753702567587,381.95880649313057
128,427.5651622294449,396.9408982594017
129,454.461420687117,408.9458316979652
130,315.49721505852483,386.4852085329411
131,371.4027753212906,382.6798842877819
132,521.1743455058205,392.00432762108113
133,399.00871634357003,393.80503833113914
134,343.793608511659,398.5263040637189
135,352.9044597944209,399.459328545938
136,502.13106281066734,414.39141365192734
137,379.6921967571345,406.76309630196494
138,362.1137086982153,400.21795094884203
139,371.64649803357173,391.93645868348744
140,473.11733122684683,407.6984703003197
141,521.2621570898204,422.68440847717267
142,530.3569000322454,423.6026639298152
143,407.8917490882566,424.4909672042838
144,379.45833344548953,428.05743969766684
145,352.7801025210833,428.0450039703331
146,446.0206518023247,422.4339628694988
147,389.8951635286955,423.4542595466549
148,324.9250227762747,419.73539095446085
149,380.8477190762056,420.65551305872424
150,399.50730342850596,413.2945102788902
151,352.8362649223933,396.45192106214745
152,483.9150871866961,391.8077397775925
153,352.81239989585123,386.299804858352
154,418.74402751164075,390.22837426496716
155,427.66738795235784,397.7171028080946
156,521.4243214224864,405.2574697701108
157,334.27089064248787,399.69504248148996
158,314.53596994325295,398.65613719818776
159,538.6703227234788,414.4383975629151
160,361.8952451329907,410.67719173336366
161,371.56091347434693,412.549656588559
162,381.0556468687836,402.2637125567677
163,362.1644983282917,403.1989224000118
164,343.7272504560108,395.6972446944487
165,305.98330610958783,383.52883651017174
166,549.7562546232505,386.36202983024816
167,657.829422003342,418.7178829663336
168,296.5262208155609,416.9169080535644
169,418.3977724446344,404.8896530256799
170,417.76120900437996,410.47624941281885
171,400.11228188490196,413.33138625387437
172,549.2731004601152,430.15313161300753
173,343.73879486683796,428.3105612668622
174,529.8154644450793,446.919382665769
175,427.7994251136793,459.1009945661782
176,530.8101262859442,457.20638173244754
177,361.9833597453341,427.6217755066467
178,352.54677116611066,433.22383054170166
179,539.9049450927087,445.37454780650916
180,436.6781033422115,447.2662372402923
181,428.0531640567712,450.0603254574792
182,306.21425350468337,425.75444076193605
183,352.8073947248571,426.6613007477379
184,306.4098744108621,404.3207417443162
185,680.2508713878868,429.5658863717369
186,427.8203309233793,419.2669068354805
187,334.08836555465234,416.4774074164123
188,473.57233534261354,428.57996383406254
189,456.01969687132663,420.1914390119244
190,362.15620738691166,412.73924941639433
191,634.0003233946446,433.33396535018176
192,371.8155325052108,439.89409325023445
193,418.66371090594225,446.47972486834306
194,342.99524669175423,450.1382620964322
195,455.52054449199534,427.6652294068431
196,502.3696572146906,435.1201620359742
197,484.01920912726393,450.1132463932354
198,436.8868512453528,446.4446979835093
199,428.053997163148,443.6481280126915
200,372.00205498347106,444.63271277234736
201,399.4437911156143,421.1770595444444
202,399.90864834507823,423.9863711284311
203,381.24501481869765,420.24450151970666
204,306.20345805330516,416.56532265586173
205,389.9845759850844,410.0117258051706
206,399.92742701019506,399.76750278472105
207,390.42887385068997,390.40846925706364
208,325.0096095484793,379.22074508737626
209,380.4298316135872,374.45832853242024
210,502.76473067069406,387.5345961011425
211,353.1048671091037,382.90070370049153
212,334.1589451473332,376.325733380717
213,409.2672756746454,379.1279594663118
214,427.1172807581627,391.21934173679756
215,334.35489478131944,385.65637361642104
216,520.1681976172426,397.6804506771258
217,324.93697486397593,391.13126077845436
218,417.64334673905,400.39463449751145
219,371.8970041952211,399.54135175567484
220,399.83424509490004,389.2483031980954
221,531.1987416225517,407.05769064944013
222,278.22594229807527,401.4643903645144
223,381.2185804088163,398.6595208379315
224,324.81153583598297,388.42894634571354
225,456.17186069643424,400.61064293722495
226,652.551772787428,413.8490004542435
227,296.7874327828712,411.034046246133
228,352.86842458336474,404.55655403056454
229,343.1195343794343,401.67880704898585
230,362.31132181981076,397.92651472147696
231,455.0830358469178,390.3149441439136
232,353.26471001373466,397.8188209154795
233,464.3762109579343,406.13458397039125
234,259.2050053697348,399.57393092376645
235,315.4601523224346,385.50276008636655
236,315.7322844222733,351.8208112498511
237,362.4820396308961,358.3902719346535
238,334.4192607611469,356.5453555524317
239,353.28592983831334,357.56199509831964
240,380.78365614408307,359.4092285307469
241,296.9765273466901,343.59857768072413
242,409.10251976215665,349.18235865556636
243,371.6862933920246,339.91336689897537
244,334.52672373755854,347.4455387357577
245,605.3735018228595,376.43687368580015
246,529.5609884995124,397.8197440935241
247,362.5151239593632,397.8230525263708
248,362.3378726522477,400.6149137154809
249,361.9475221597132,401.4810729476209
250,390.5636870368995,402.4590760369025
251,371.4886607982449,409.910289382058
252,334.1233598819264,402.41237339403494
253,362.1767777305856,401.46142182789106
254,361.83390148365567,404.1921396025008
255,492.74018673264527,392.9288080934794
256,746.1997271293585,414.592681956464
257,334.19025964840375,411.760195525368
258,287.65170838681183,404.2915790988244
259,446.5061791734136,412.74744480019444
260,371.6990730948936,410.8609834059939
261,305.7850813683607,404.29062546300554
262,408.96065264654476,411.77435473946736
263,437.09909733003514,419.26658669941224
264,315.7576913594019,414.6589656869869
265,418.76555612381924,407.2615026261043
