episode,score,score_avg
1,362.47441878900173,362.47441878900173
2,316.0324264632953,339.2534226261485
3,269.09115211511744,315.86599912247146
4,250.64827732043733,299.56156867196296
5,250.4846493148646,289.7461848005433
6,213.3050040491291,277.00598800864094
7,306.82138748696883,281.2653307912592
8,250.30030396641428,277.39470243815356
9,269.2221456287443,276.4866405704414
10,287.76121328318885,277.61409784171616
11,287.5026371610671,270.1169196789227
12,268.84589598356933,265.3982666309501
13,437.5668504631381,282.2458364657522
14,287.63954932548535,285.94496366625697
15,315.8160075987117,292.4780994946417
16,296.73460681261344,300.82105977099013
17,287.4958335302263,298.88850437531585
18,399.91655671786333,313.8501296504608
19,325.7706144944186,319.50497653702826
20,269.13076858595514,317.6419320673048
21,334.77425182842956,322.3690935340411
22,325.21911304114445,328.00641523979857
23,325.3033197385912,316.7800621673439
24,287.6956960917659,316.78567684397194
25,296.5585798904795,314.8599340731488
26,269.23791892147295,312.11026528403465
27,334.5680870203421,316.81749063304625
28,344.0688891473503,311.232723875995
29,306.63471459911085,309.3191338864642
30,464.7807185721672,328.8841288850854
31,259.17018911047006,321.3237226132895
32,297.18289574181415,318.5201008833564
33,240.79800222608276,310.0695691321056
34,240.93034204310217,305.3930337272392
35,343.7804619303035,310.1152219312216
36,287.86819354612163,311.9782493936865
37,352.80810108472247,313.8022508001245
38,222.28637961368494,301.623999846758
39,185.31012886224062,289.49154127307094
40,315.58461825671174,274.5719312415254
41,269.09124592745405,275.5640369232238
42,296.9444331730867,275.54019066635107
43,250.3183978461587,276.4922302283586
44,231.68581694827907,275.56777771887636
45,344.2359449759878,275.61332602344476
46,269.07031710801493,273.73353837963407
47,194.03177332253793,257.85590560341564
48,222.27643773376815,257.85491141542394
49,465.49638550013145,285.873537079213
50,316.1132216588252,285.9263974194244
51,334.85468260404036,292.502741087083
52,241.21142869836018,286.92944063961033
53,334.0694667574328,295.30454753073775
54,522.1134508142156,324.34731091733147
55,325.1468746680022,322.4384038865329
56,260.1528997500192,321.5466621507333
57,278.0076663293478,329.94425145141423
58,297.3748557887497,337.4540932569124
59,381.14772507721943,329.0192272146213
60,231.59059668457365,320.56696471719613
61,268.91081371802517,313.9725778285945
62,380.9622599460044,327.947660953359
63,334.64234105430904,328.0049483830466
64,380.89067820862573,313.8826711224876
65,306.46878089641035,312.0148617453284
66,296.9785763912682,315.6974294094533
67,493.1539603055644,337.212058807075
68,213.21811749713908,328.79638497791393
69,213.1220453939605,311.99381700958804
70,278.61435574186504,316.69619291531717
71,578.0159070464907,347.60670224816374
72,325.2130696177236,342.0317832153357
73,232.0226274948979,331.7698118593945
74,222.3908719083165,315.9198312293636
75,352.7908558743338,320.552038727156
76,213.18264618998597,312.17244570702775
77,203.68070387777408,283.2251200642487
78,343.5728733519955,296.2605956497344
79,259.8163269746996,300.93002380780825
80,353.27290005652924,308.3958782392747
81,306.672522212419,281.26153975586755
82,250.33179360416145,273.7734121545113
83,268.7458022537225,277.44572963039377
84,203.91085348078258,275.59772778764034
85,269.09623815243947,267.2282660154509
86,381.5090873584055,284.06091013229286
87,269.11839985826526,290.604679730342
88,194.30398257303253,275.67779065244565
89,268.9146730781088,276.5876252627866
90,604.6411312246537,301.72444837959904
91,418.62564832615686,312.9197609909728
92,456.06550294121587,333.4931319246783
93,463.8227887140455,353.00083057071066
94,287.4142525394875,361.35117047658116
95,241.36008557910503,358.5775552192476
96,380.65916859935646,358.4925633433428
97,250.05874171302966,356.5865975288192
98,343.3822191682727,371.4944211883432
99,297.4183047637804,374.34478435691034
100,371.4602366028262,351.0266948947276
101,315.8676419487296,340.7508942569849
102,222.35285786305633,317.37962974916894
103,409.3125426555281,311.9286051433172
104,241.19635804519012,307.3068156938874
105,315.96577178559147,314.7673843145361
106,287.9793616004331,305.49940361464377
107,325.0448428187947,312.9980137252203
108,278.4777817087469,306.5075699792677
109,287.632818943822,305.52902139727183
110,399.3897766782547,308.3219754048147
111,334.2542960680067,310.1606408167424
112,324.76881888910424,320.40223691934716
113,194.89214880180876,298.96019753397525
114,260.0406501880591,300.8446267482621
115,334.9044426177408,302.73849383147706
116,269.16191050917575,300.85674872235137
117,259.6515088297676,294.31741532344864
118,333.9962772019636,299.86926487277026
119,241.2614959498139,295.2321325733695
120,306.47920366893845,285.94107527243784
121,409.59913338888913,293.47555900452613
122,278.4990639997562,288.8485835155913
123,297.6250462515506,299.1218732605655
124,381.72765012549587,311.29057325430915
125,315.6599882605007,309.36612781858514
126,343.95150583609245,316.84508735127685
127,306.13258246485196,321.4931947147853
128,259.67599246612633,314.0611662412016
129,380.6240041333181,327.997417059552
130,315.46515858077765,328.8960125507359
131,325.25069566527714,320.46116877837466
132,249.6782259786828,317.5790849762674
133,325.18017342096,320.33459769320825
134,222.2033510320176,304.3821677838604
135,465.1798032627295,319.3341492840833
136,306.7169452452128,315.6106932249953
137,325.1786833031391,317.5153033088241
138,343.759970587286,325.92370112094005
139,250.62597549234377,312.9238982568426
140,250.08059113566028,306.3854415123309
141,306.9584186175483,304.55621380755804
142,427.2962602298341,322.3180172326731
143,362.50983291884705,326.0509831824619
144,371.7864701338389,341.009295092644
145,250.06658103108907,319.49797286947995
146,278.2895793879044,316.6552362837491
147,315.08486661843585,315.6458546152788
148,352.61548153790125,316.53140571034027
149,324.55638333376896,323.9244464944828
150,446.6846535111864,343.5848527320354
151,324.97482252900556,345.38649312318114
152,231.7601962369198,325.8328867238897
153,315.6535182976169,321.1472552617667
154,315.64087411856485,315.53269566023926
155,390.44659404938216,329.5706969620686
156,465.7101878438834,348.31275780766657
157,287.8159748262719,345.58586862845016
158,259.9348252542652,336.3178030000866
159,362.4048494253888,340.1026496092485
160,315.2606420589915,326.960248464029
161,371.6141482311526,331.6241810342437
162,203.9306869149695,328.8412301020487
163,315.3493063789558,328.8108089101826
164,296.9237326953054,326.93909476785655
165,287.39782659830576,316.634218022749
166,222.32941912207733,292.29614115056836
167,250.19191028534837,288.5337346964761
168,222.60826829817194,284.8010790008667
169,325.08287587024535,281.06888164535235
170,437.3448345460455,293.27730089405776
171,306.3157938388992,286.7474654548324
172,408.8738772125342,307.2417844845889
173,399.63505046949723,315.6703588936431
174,297.41514100929817,315.7194997250423
175,390.17627371286375,325.9973444364981
176,334.82487553639436,337.24689007792983
177,278.23235279678016,340.05093432907296
178,483.9671015280313,366.18681765205895
179,278.090312764272,361.48756134146157
180,278.42135821115073,345.59521370797205
181,278.1869984807189,342.78233417215404
182,465.24001207619375,348.41894765852004
183,240.65241074445584,332.52068368601584
184,324.69763109097653,335.24893269418374
185,213.0852949224704,317.5398348151444
186,353.02099759313546,319.3594470208185
187,353.1924611729517,326.85545785843567
188,240.67713717018833,302.5264614226514
189,362.2739519917227,310.94482534539645
190,353.2447441445657,318.4271639387379
191,259.5558499502551,316.5640490856915
192,324.779333865104,302.51798126458255
193,352.9753022795218,313.75027041808914
194,306.8345915415958,311.96396646315105
195,296.8687590499539,320.34231287589944
196,306.0954188469099,315.6497550012769
197,343.7095067674296,314.70145956072463
198,352.8892714084221,325.92267298454806
199,297.08840862981856,319.40411864835767
200,268.70843498873285,310.9504877327744
201,296.67284774342033,314.66218751209084
202,240.75229037651155,306.25948316323166
203,287.5610040263736,299.7180533379168
204,390.461516842957,308.080745868053
205,278.4460005196055,306.2384700150181
206,334.6022046509759,309.0891485954247
207,185.15767786859269,293.233965705541
208,259.81410972616504,283.9264495373153
209,352.80579172503747,289.4981878468372
210,390.39837647089814,301.66718199505374
211,297.107815952047,301.71067881591637
212,278.20093786110215,305.4555435643755
213,446.04988463167524,321.30443162490553
214,306.1913346833686,312.8774134089468
215,278.3620557096532,312.8690189279515
216,287.5343269126312,308.1622311541171
217,529.930270130965,342.63949038035423
218,203.78653911324866,337.0367333190627
219,334.4926969774655,335.20542384430547
220,231.49785833209864,319.3153720304255
221,408.89896265641994,330.4944867008628
222,268.8535403462371,329.5597469493763
223,464.9822631081012,331.45298479701887
224,352.9182331797024,336.12567464665227
225,380.9597620390543,346.3854452795924
226,427.8075319650486,360.4127657848341
227,530.6954736362692,360.4892861353646
228,352.9854999166979,375.40918221570945
229,334.3833425797526,375.39824677593816
230,259.47962071342783,378.19642301407106
231,231.74972309542537,360.48149905797163
232,212.99450868085663,354.8955958914336
233,353.02843697283623,343.7002132779071
234,334.4315899649593,341.8515489564328
235,269.24524523102565,330.6800972756299
236,315.56975930153436,319.45632000927856
237,371.56084653460044,303.54285729911163
238,324.9348380422129,300.7377911116631
239,334.62370593263296,300.7618274469512
240,315.56490458376254,306.37035583398466
241,390.5298956585836,322.2483730903005
242,361.8856210478135,337.1374843269961
243,287.80925490122326,330.61556611983485
244,399.86856300813304,337.15926342415224
245,287.17686028596324,338.952424929646
246,408.770569451164,348.27250594460895
247,324.7410265342171,343.5905239445706
248,334.0389150004033,344.5009316403897
249,371.7507590522465,348.213636952351
250,343.58315646499034,351.01546214047374
251,287.6233512611836,340.7248077007338
252,362.37633723317043,340.77387931926944
253,268.5620586823267,338.84915969737983
254,306.1507107343768,329.47737447000424
255,259.09777825718754,326.66946626712667
256,389.9172174842079,324.78413107043104
257,343.4963818626138,326.6596666032707
258,371.83661532221385,330.4394366354517
259,277.8926701146223,321.05362774168935
260,390.576502862016,325.7529623813919
261,287.323695712424,325.72299682651595
262,381.04115662832135,327.58947876603105
263,445.92198422022676,345.3254713198211
264,287.0739866105833,343.4177989074417
265,287.01695848355877,346.2097169300788
266,259.56132381821374,333.1741275634794
267,334.3134797148945,332.2558373487074
268,315.74669724286355,326.64684554077246
269,306.1662407839614,329.47420260770633
270,306.2340300034578,321.03995532185047
271,324.73344107930455,324.78092985853857
272,361.47124410067534,322.823938605774
273,353.1695992830482,313.54870011205617
274,501.8408666668333,335.02538811768113
275,362.23582477367927,342.5472747466932
276,465.2836183191695,363.11950419678874
277,324.92727171679996,362.1808833969793
278,418.5682339926871,372.4630370719616
279,381.2909070891859,379.9755037024841
280,305.73486721935717,379.925587424074
281,250.06638489630367,372.45888180577396
282,334.5400590315358,369.76576329885995
283,343.5388762966421,368.8026910002194
284,511.3880228849083,369.7574066220269
285,333.5448591795234,366.8883100626113
286,287.55767931148796,349.1157161618431
287,492.38709139887345,365.8616981300505
288,390.6115185842837,363.06602658921014
289,334.1760043806083,358.3545363183524
290,361.0584715301988,363.8868967494366
291,306.18293689967936,369.4985519497742
292,325.06339123625463,368.55088517024603
293,278.2982278574561,362.02682032632737
294,400.1915270997046,350.907170747807
295,286.99626001510535,346.2523108313652
296,324.4170636879393,349.9382492690103
297,407.8915435551431,341.4886944846373
298,446.4564343347041,347.07318605967936
299,502.79461282118257,363.9350469037368
300,315.72029481967627,359.40122923268456
301,502.9588487340765,379.07882041612424
302,409.2452106740482,387.4970023599036
303,444.94947535308654,404.1621271094667
304,390.30569367513084,403.1735437670093
305,296.7956681238451,404.15348457788326
306,315.28083057867633,403.23986126695695
307,287.5396385754202,391.2046707689846
308,296.88286559060685,376.2473138945749
309,437.054086938871,369.67326130634376
310,502.2707505300985,388.328306877386
311,437.10213184469006,381.74263518844737
312,390.66913196278705,379.88502731732126
313,361.768228892386,371.5669026712512
314,455.30973805395035,378.06730710913314
315,361.84030011854344,384.57177030860294
316,390.2799381947225,392.0716810702076
317,287.58553781684327,392.07627099434995
318,297.0089693452347,392.08888136981267
319,306.1624165412821,378.9997143300538
320,343.18994750624597,363.0916340276686
321,287.2002475521819,348.1014455984177
322,278.1766763592968,336.85220003806864
323,520.2127751356735,352.69665466239746
324,352.62439423373013,342.4281202803754
325,315.4074137838013,337.7848316469011
326,343.4585020958795,333.10268803701695
327,352.7517222510805,339.6193064804406
328,324.72950905116625,342.3913604510338
329,324.71089901054415,344.24620869796
330,409.324848819429,350.85969882927833
331,399.3528846156701,362.07496253562715
332,353.12366162957466,369.5696610626549
333,306.19507456339596,348.1678910054271
334,399.7996994603375,352.8854215280879
335,465.23960242541716,367.8686403922494
336,371.64711328702174,370.6875015113636
337,306.325200065181,366.0448492927738
338,408.6430841242113,374.4362068000783
339,287.13049165358916,370.67816606438276
340,520.8592708292266,381.83160826536255
341,418.6102017462321,383.7573399784187
342,343.73705910879846,382.81867972634114
343,315.67137579111335,383.7663098491129
344,343.5015562759553,378.13649553067467
345,258.87944316276895,357.5004796044098
346,334.156294608713,353.75139773657895
347,371.5393715526518,360.272814885326
348,595.750677459669,378.9835742188718
349,259.2982776235065,376.20035281586354
350,343.77481286862127,358.491907019803
351,278.07465167429655,344.4383520126094
352,343.5456091747434,344.4192070192039
353,389.9432909128681,351.84639853137935
354,381.2251447517732,355.6187573789612
355,492.9622205822696,379.02703512091125
356,398.8852571311078,385.49993137315073
357,297.16766672378304,378.0627608902638
358,296.73931760024044,348.161624904321
359,633.5168877552383,385.58348591749416
360,259.15540475172185,377.1215451058043
361,381.09968435850476,387.42404837422504
362,342.94602744844616,387.36409020159533
363,530.0016823342855,401.3699293437371
364,409.28750228328016,404.17616509688776
365,380.6169351224734,392.94163655090813
366,417.20745922798113,394.77385676059544
367,296.56428945547844,394.713519033765
368,324.86940059979395,397.52652733372037
369,334.47849205900764,367.62268776409735
370,306.1897066522412,372.32611795414925
371,306.48260504949974,364.86441002324875
372,287.3454391440054,359.3043511928047
373,399.9684800551051,346.3010309648866
374,465.226192044553,351.89489994101393
375,362.5559248549394,350.0887989142605
376,343.7019794129286,342.73825093275525
377,343.87868097425877,347.46969008463327
378,334.3023764089609,348.41298766554996
379,297.04978356353,344.6701168160022
380,418.43162035510716,355.89430818628887
381,352.3402940703092,360.48007708836974
382,427.4782473305725,374.4933579070265
383,259.39955198824066,360.43646510034006
384,287.72716321928084,342.6865622178128
385,343.80356731985705,340.8113264643046
386,455.1331405930088,351.9544425823126
387,352.46112073255875,352.81268655814256
388,361.94397090249674,355.5768460074962
389,334.05040138745574,359.2769077898887
390,277.74382512925274,345.2081282673033
391,362.00183764188006,346.17428262446043
392,511.6878460346483,354.595242494868
