episode,score,score_avg
0,44.0,44.0
1,18.0,31.0
2,16.0,26.0
3,19.0,24.25
4,34.0,26.2
5,20.0,25.166666666666668
6,24.0,25.0
7,17.0,24.0
8,18.0,23.333333333333332
9,28.0,23.8
10,20.0,23.454545454545453
11,39.0,24.75
12,38.0,25.76923076923077
13,19.0,25.285714285714285
14,27.0,25.4
15,26.0,25.4375
16,23.0,25.294117647058822
17,25.0,25.27777777777778
18,31.0,25.57894736842105
19,47.0,26.65
20,26.0,26.61904761904762
21,37.0,27.09090909090909
22,38.0,27.565217391304348
23,29.0,27.625
24,25.0,27.52
25,36.0,27.846153846153847
26,20.0,27.555555555555557
27,18.0,27.214285714285715
28,21.0,27.0
29,24.0,26.9
30,58.0,27.903225806451612
31,18.0,27.59375
32,21.0,27.393939393939394
33,23.0,27.264705882352942
34,36.0,27.514285714285716
35,17.0,27.22222222222222
36,23.0,27.10810810810811
37,26.0,27.07894736842105
38,47.0,27.58974358974359
39,22.0,27.45
40,27.0,27.4390243902439
41,51.0,28.0
42,38.0,28.232558139534884
43,25.0,28.15909090909091
44,18.0,27.933333333333334
45,51.0,28.434782608695652
46,26.0,28.382978723404257
47,15.0,28.104166666666668
48,22.0,27.979591836734695
49,29.0,28.0
50,23.0,27.901960784313726
51,65.0,28.615384615384617
52,16.0,28.37735849056604
53,18.0,28.185185185185187
54,19.0,28.01818181818182
55,31.0,28.071428571428573
56,16.0,27.859649122807017
57,31.0,27.913793103448278
58,31.0,27.966101694915253
59,21.0,27.85
60,22.0,27.75409836065574
61,28.0,27.758064516129032
62,53.0,28.158730158730158
63,18.0,28.0
64,20.0,27.876923076923077
65,29.0,27.893939393939394
66,21.0,27.791044776119403
67,43.0,28.014705882352942
68,19.0,27.884057971014492
69,22.0,27.8
70,24.0,27.746478873239436
71,19.0,27.625
72,24.0,27.575342465753426
73,34.0,27.66216216216216
74,23.0,27.6
75,39.0,27.75
76,23.0,27.68831168831169
77,28.0,27.692307692307693
78,45.0,27.911392405063292
79,31.0,27.95
80,23.0,27.88888888888889
81,15.0,27.73170731707317
82,21.0,27.650602409638555
83,22.0,27.583333333333332
84,31.0,27.623529411764707
85,54.0,27.930232558139537
86,28.0,27.93103448275862
87,31.0,27.96590909090909
88,20.0,27.876404494382022
89,22.0,27.81111111111111
90,28.0,27.813186813186814
91,28.0,27.815217391304348
92,22.0,27.752688172043012
93,37.0,27.851063829787233
94,32.0,27.894736842105264
95,22.0,27.833333333333332
96,30.0,27.855670103092784
97,27.0,27.846938775510203
98,66.0,28.232323232323232
99,23.0,28.18
100,21.0,27.95
101,21.0,27.98
102,24.0,28.06
103,20.0,28.07
104,25.0,27.98
105,23.0,28.01
106,21.0,27.98
107,23.0,28.04
108,18.0,28.04
109,49.0,28.25
110,56.0,28.61
111,14.0,28.36
112,29.0,28.27
113,17.0,28.25
114,18.0,28.16
115,18.0,28.08
116,26.0,28.11
117,33.0,28.19
118,25.0,28.13
119,36.0,28.02
120,49.0,28.25
121,51.0,28.39
122,23.0,28.24
123,15.0,28.1
124,27.0,28.12
125,24.0,28.0
126,23.0,28.03
127,23.0,28.08
128,28.0,28.15
129,17.0,28.08
130,20.0,27.7
131,22.0,27.74
132,21.0,27.74
133,28.0,27.79
134,27.0,27.7
135,15.0,27.68
136,48.0,27.93
137,25.0,27.92
138,16.0,27.61
139,30.0,27.69
140,24.0,27.66
141,21.0,27.36
142,33.0,27.31
143,20.0,27.26
144,18.0,27.26
145,43.0,27.18
146,38.0,27.3
147,27.0,27.42
148,64.0,27.84
149,19.0,27.74
150,48.0,27.99
151,37.0,27.71
152,36.0,27.91
153,36.0,28.09
154,32.0,28.22
155,23.0,28.14
156,25.0,28.23
157,26.0,28.18
158,19.0,28.06
159,32.0,28.17
160,33.0,28.28
161,49.0,28.49
162,54.0,28.5
163,19.0,28.51
164,17.0,28.48
165,34.0,28.53
166,45.0,28.77
167,19.0,28.53
168,19.0,28.53
169,21.0,28.52
170,30.0,28.58
171,23.0,28.62
172,32.0,28.7
173,58.0,28.94
174,23.0,28.94
175,57.0,29.12
176,25.0,29.14
177,17.0,29.03
178,28.0,28.86
179,24.0,28.79
180,35.0,28.91
181,36.0,29.12
182,37.0,29.28
183,23.0,29.29
184,16.0,29.14
185,17.0,28.77
186,16.0,28.65
187,43.0,28.77
188,56.0,29.13
189,18.0,29.09
190,21.0,29.02
191,16.0,28.9
192,31.0,28.99
193,16.0,28.78
194,22.0,28.68
195,22.0,28.68
196,17.0,28.55
197,24.0,28.52
198,22.0,28.08
199,16.0,28.01
200,16.0,27.96
201,17.0,27.92
202,19.0,27.87
203,30.0,27.97
204,62.0,28.34
205,16.0,28.27
206,20.0,28.26
207,27.0,28.3
208,38.0,28.5
209,17.0,28.18
210,27.0,27.89
211,48.0,28.23
212,32.0,28.26
213,16.0,28.25
214,20.0,28.27
215,31.0,28.4
216,26.0,28.4
217,20.0,28.27
218,33.0,28.35
219,27.0,28.26
220,22.0,27.99
221,17.0,27.65
222,26.0,27.68
223,26.0,27.79
224,20.0,27.72
225,17.0,27.65
226,16.0,27.58
227,43.0,27.78
228,26.0,27.76
229,17.0,27.76
230,17.0,27.73
231,27.0,27.78
232,19.0,27.76
233,38.0,27.86
234,28.0,27.87
235,22.0,27.94
