episode,score,score_avg
1,22.0,22.0
2,15.0,18.5
3,26.0,21.0
4,7.0,17.5
5,15.0,17.0
6,34.0,19.833333333333332
7,29.0,21.142857142857142
8,34.0,22.75
9,21.0,22.555555555555557
10,38.0,24.1
11,12.0,23.1
12,15.0,23.1
13,21.0,22.6
14,18.0,23.7
15,18.0,24.0
16,17.0,22.3
17,14.0,20.8
18,21.0,19.5
19,27.0,20.1
20,45.0,20.8
21,13.0,20.9
22,20.0,21.4
23,31.0,22.4
24,16.0,22.2
25,25.0,22.9
26,14.0,22.6
27,20.0,23.2
28,12.0,22.3
29,12.0,20.8
30,13.0,17.6
31,14.0,17.7
32,11.0,16.8
33,23.0,16.0
34,17.0,16.1
35,26.0,16.2
36,38.0,18.6
37,48.0,21.4
38,35.0,23.7
39,15.0,24.0
40,16.0,24.3
41,25.0,25.4
42,22.0,26.5
43,26.0,26.8
44,36.0,28.7
45,16.0,27.7
46,21.0,26.0
47,30.0,24.2
48,14.0,22.1
49,11.0,21.7
50,53.0,25.4
51,14.0,24.3
52,24.0,24.5
53,15.0,23.4
54,11.0,20.9
55,21.0,21.4
56,18.0,21.1
57,18.0,19.9
58,46.0,23.1
59,10.0,23.0
60,25.0,20.2
61,23.0,21.1
62,42.0,22.9
63,15.0,22.9
64,11.0,22.9
65,9.0,21.7
66,28.0,22.7
67,19.0,22.8
68,10.0,19.2
69,14.0,19.6
70,13.0,18.4
71,12.0,17.3
72,18.0,14.9
73,68.0,20.2
74,55.0,24.6
75,20.0,25.7
76,25.0,25.4
77,17.0,25.2
78,17.0,25.9
79,29.0,27.4
80,34.0,29.5
81,14.0,29.7
82,21.0,30.0
83,16.0,24.8
84,37.0,23.0
85,21.0,23.1
86,16.0,22.2
87,31.0,23.6
88,14.0,23.3
89,30.0,23.4
90,15.0,21.5
91,19.0,22.0
92,37.0,23.6
93,14.0,23.4
94,36.0,23.3
95,11.0,22.3
96,23.0,23.0
97,38.0,23.7
98,16.0,23.9
99,13.0,22.2
100,12.0,21.9
101,13.0,21.3
102,32.0,20.8
103,22.0,21.6
104,26.0,20.6
105,40.0,23.5
106,33.0,24.5
107,39.0,24.6
108,28.0,25.8
109,16.0,26.1
110,25.0,27.4
111,29.0,29.0
112,19.0,27.7
113,15.0,27.0
114,25.0,26.9
115,27.0,25.6
116,12.0,23.5
117,38.0,23.4
118,25.0,23.1
119,70.0,28.5
120,29.0,28.9
121,23.0,28.3
122,16.0,28.0
123,10.0,27.5
124,15.0,26.5
125,17.0,25.5
126,35.0,27.8
127,13.0,25.3
128,17.0,24.5
