episode,score,score_avg
0,-3.62352301315824,-3.62352301315824
1,-5.379109730433281,-4.5013163717957605
2,-7.366504078767729,-5.456378940786418
3,-8.128806838015258,-6.1244859150936275
4,-9.259181129493122,-6.751424957973526
5,-10.024283292315925,-7.296901347030594
6,-12.388982376661005,-8.024341494120652
7,-15.959534360688307,-9.01624060244161
8,-15.199158234338018,-9.7032314504301
9,-14.432767177473671,-10.176185023134456
10,-15.850014034235581,-10.691987660507287
11,-15.72259686452083,-11.111205094175082
12,-13.966691476269267,-11.330857892797711
13,-11.934230207884116,-11.373955915303883
14,-10.215512656190946,-11.296726364696354
15,-8.812123965616786,-11.141438714753882
16,-6.521704375669322,-10.869689635984201
17,-6.782999104744982,-10.642651273137579
18,-4.99408973676651,-10.345358560696996
19,-4.380624102106673,-10.047121837767481
20,-5.180922168964503,-9.815398044014959
21,-4.71288553109665,-9.583465657064126
22,-5.676743139354066,-9.413608156294123
23,-6.492377301444323,-9.291890204008714
24,-6.399897388051911,-9.17621049137044
25,-5.013980058589542,-9.016124705494253
26,-4.361460949439371,-8.843729751566293
27,-5.308149669285277,-8.717459034341973
28,-6.454694289983371,-8.639432663846847
29,-6.759095587428445,-8.576754761299567
30,-6.680428638319054,-8.515582950880841
31,-6.718926384537232,-8.459437433182604
32,-9.014389257862984,-8.476254155142616
33,-9.90411642622816,-8.518250104292191
34,-10.759175741759138,-8.58227655107696
35,-12.170642368567133,-8.681953379340577
36,-13.356852731141467,-8.80830201047033
37,-15.430719241060135,-8.982576148117431
38,-13.485174960015758,-9.098027399704566
39,-11.38546734425401,-9.155213398318303
40,-13.849906041081693,-9.269718096922288
41,-15.292468343924929,-9.413116912327112
42,-15.66426073409512,-9.558492350042648
43,-14.639726775830868,-9.673974950628745
44,-14.375779664656536,-9.778459499829362
45,-15.450912771524168,-9.901773701387944
46,-13.329344377041188,-9.974700737040141
47,-11.179144460385134,-9.999793314609828
48,-12.508806085220106,-10.050997656867182
49,-14.659720426189919,-10.143172112253636
50,-13.94563913336359,-10.217730289138144
51,-12.089499762947804,-10.253725855942175
52,-14.195692965298836,-10.328102593854563
53,-12.280403141589899,-10.364256307701513
54,-13.728568456333516,-10.425425619494822
55,-12.22409790898235,-10.457544767521389
56,-11.55433741831411,-10.476786743851088
57,-13.766761422743564,-10.533510445211302
58,-16.550530234593204,-10.635493831472013
59,-15.451552254889995,-10.715761471862313
60,-13.685586653764082,-10.764447130582013
61,-13.263882965058569,-10.804760611783248
62,-15.268275734208713,-10.875610058170954
63,-13.65415353175353,-10.91902479994568
64,-12.276072898760278,-10.939902463004366
65,-10.92447569422498,-10.939668724083466
66,-10.128920096369308,-10.927567998296686
67,-11.04234346704472,-10.929255872837098
68,-12.350009684070061,-10.949846507782503
69,-11.615778635454593,-10.959359823892106
70,-11.054485030422867,-10.960699615533382
71,-9.764404197924732,-10.94408440139993
72,-9.87885403707793,-10.929492204628398
73,-8.704091109047955,-10.899419216850282
74,-10.91668986785525,-10.899649492197016
75,-11.655458318993556,-10.90959434518118
76,-14.0043064780954,-10.949785411842402
77,-16.11752047429037,-11.016038425463531
78,-13.522105455486079,-11.04776079293217
79,-13.41227261908219,-11.077317190759047
80,-14.650167865454968,-11.121426458347885
81,-13.020195434508295,-11.144582177569353
82,-12.592005675622236,-11.162021014895291
83,-13.714945042523388,-11.192412967605149
84,-16.456197465167467,-11.25433984404706
85,-18.30189190437387,-11.336288123818301
86,-19.650993046476994,-11.431859444768401
87,-18.65986076476301,-11.513995823404704
88,-16.818173750372292,-11.573593328202092
89,-17.979922471917767,-11.644774763132265
90,-18.465966932652364,-11.719732918841279
91,-19.842668256284846,-11.808025694248274
92,-16.95975604138135,-11.863420644217447
93,-16.092748316742455,-11.9084134917975
94,-14.792060916220997,-11.938767675212485
95,-15.757636494166377,-11.978547558743257
96,-14.405748602010803,-12.003570249910963
97,-16.163569054054893,-12.046019217300188
98,-16.870740628024087,-12.09475377700447
99,-15.075342009861911,-12.124559659333045
100,-16.40888180312632,-12.252413247232726
101,-18.93581935601738,-12.387980343488566
102,-20.009245150656202,-12.514407754207447
103,-21.74898042431114,-12.650609490070408
104,-20.516402395392987,-12.763181702729407
105,-21.43182248739272,-12.877257094680173
106,-22.291333568470215,-12.976280606598268
107,-24.255748948675233,-13.059242752478134
108,-24.495805265016926,-13.152209222784927
109,-26.42456035662346,-13.272127154576424
110,-26.45466796534203,-13.378173693887488
111,-28.842568033499518,-13.509373405577273
112,-30.797444409528946,-13.677680934909867
113,-30.98351113819132,-13.868173744212939
114,-30.0677104462517,-14.066695722113547
115,-32.63813309545031,-14.304955813411885
116,-32.510974549410605,-14.564848515149297
117,-32.38853259877485,-14.820903850089596
118,-30.333683561353627,-15.074299788335466
119,-31.48040881846172,-15.345297635499016
120,-32.79644648321217,-15.621452878641492
121,-31.335589910510038,-15.887679922435625
122,-33.0639977061992,-16.161552468104077
123,-33.139412576465645,-16.42802282085429
124,-33.692224421116066,-16.70094609118493
125,-31.026584451102444,-16.961072135110065
126,-31.911471358102638,-17.236572239196697
127,-36.314033332393585,-17.546631075827783
128,-36.62897471334865,-17.848373880061434
129,-36.84796274049142,-18.149262551592063
130,-39.63295593696768,-18.478787824578546
131,-37.090263982298644,-18.782501200556162
132,-35.20926523138312,-19.044449960291363
133,-36.70188801011402,-19.312427676130223
134,-37.75446347297531,-19.582380553442384
135,-35.59835391056573,-19.81665766886237
136,-35.73313872774668,-20.04042052882842
137,-36.434212282300386,-20.250455459240825
138,-37.70852020156274,-20.492688911656295
139,-39.190843839048746,-20.770742676604247
140,-38.90414318477772,-21.021285048041204
141,-38.85540943095054,-21.25691445891146
142,-42.22579667925343,-21.522529818363047
143,-39.85141396361172,-21.774646690240854
144,-38.13933507032517,-22.012282244297538
145,-37.388194042121434,-22.231655057003508
146,-39.718029680599784,-22.4955419100391
147,-40.79321595448275,-22.791682624980066
148,-42.88043829035512,-23.095398947031423
149,-43.11485402270047,-23.379950282996518
150,-44.7966170880172,-23.688460062543058
151,-43.37078736542665,-24.00127293856785
152,-42.43208196251581,-24.283636828540022
153,-42.75330018908797,-24.588365799015
154,-45.852586507256966,-24.909605979524237
155,-45.17773986642146,-25.23914239909863
156,-47.37345273800422,-25.597333552295527
157,-48.507012711844844,-25.944736065186543
158,-47.10166955285301,-26.250247458369135
159,-46.90642183746386,-26.564796154194873
160,-46.25717909347504,-26.890512078591982
161,-43.90747971285638,-27.196948046069966
162,-43.191870525592904,-27.476183993983806
163,-42.03167675262611,-27.75995922619253
164,-43.80758630317548,-28.075274360236687
165,-41.320929794290045,-28.379238901237333
166,-42.520067934501085,-28.703150379618652
167,-44.25187020314776,-29.035245646979682
168,-41.91257184250947,-29.330871268564078
169,-41.01439756748045,-29.624857457884342
170,-42.64172198906236,-29.940729827470733
171,-40.59665995560685,-30.249052385047552
172,-40.311524198440154,-30.553379086661174
173,-39.03188514479359,-30.85665702701863
174,-36.65572734898166,-31.114047401829893
175,-36.37156439533582,-31.36120846259332
176,-38.80062935481148,-31.609171691360483
177,-40.34902971578665,-31.85148678377545
178,-39.76160425300113,-32.11388177175059
179,-39.28407762121935,-32.37259982177197
180,-37.24318811769256,-32.59853002429434
181,-39.241965532586136,-32.86074772527512
182,-41.796651041591524,-33.152794178934805
183,-40.1439531887299,-33.41708426039688
184,-39.96768068205967,-33.652199092565795
185,-38.21669781021348,-33.851347151624196
186,-38.5016269715255,-34.039853490874684
187,-36.9273271105622,-34.22252815433268
188,-37.67348588165749,-34.431081275645525
189,-37.320364752683545,-34.624485698453185
190,-37.63562728063914,-34.81618230193305
191,-34.855022105540556,-34.966305840425605
192,-36.28044523856454,-35.15951273239744
193,-35.082810560182395,-35.34941335483184
194,-36.716552733394224,-35.568658273003564
195,-36.39042576032221,-35.774986165665126
196,-35.73772928546887,-35.9883059724997
197,-36.7596287676682,-36.19426656963584
198,-38.215960074557465,-36.407718764101176
199,-38.71639811101631,-36.64412932511272
