episode,score,score_avg
1,-54.563732110181554,-54.563732110181554
2,-55.56583134600252,-55.064781728092036
3,-54.70869983850377,-54.94608776489594
4,-50.65789849288721,-53.87404044689376
5,-51.97699098575176,-53.494630554665356
6,-52.15056966134291,-53.27062040577828
7,-53.799494449185275,-53.346173840550705
8,-50.04592754816838,-52.93364305400292
9,-53.87101730465946,-53.03779574852032
10,-50.746465807726395,-52.808662754440924
11,-48.00480743589928,-52.1527702870127
12,-47.268320083414444,-51.323019160753894
13,-47.07475963500025,-50.55962514040354
14,-48.7436537534537,-50.36820066646019
15,-47.450668180828856,-49.9155683859679
16,-45.522198581464096,-49.25273127798001
17,-46.136292625479804,-48.48641109560946
18,-45.91945169511909,-48.073763510304545
19,-43.63074165445034,-47.04973594528362
20,-42.922882063222524,-46.26737757083324
21,-42.383260052963536,-45.70522283253966
22,-42.872656844329256,-45.265656508631146
23,-41.62224866731925,-44.72040541186304
24,-40.06911017731109,-43.852951054248784
25,-40.54024195283204,-43.161908431449106
26,-39.3022600392725,-42.53991457722994
27,-38.789090687430296,-41.80519438342499
28,-39.48034320280865,-41.16128353419394
29,-37.34452962627771,-40.532662331376685
30,-36.42237481490071,-39.8826116065445
31,-36.147855262466194,-39.25907112749477
32,-35.99364123655809,-38.57116956671765
33,-36.620729217480495,-38.07101762173378
34,-34.97585171138173,-37.56169177514084
35,-33.3400938891086,-36.84167696876849
36,-33.257299788503666,-36.23718094369162
37,-34.84903202115849,-35.84317507706443
38,-31.399451789433428,-35.03508593572691
39,-32.04591806306811,-34.50522477940595
40,-30.311888003454587,-33.89417609826134
41,-30.541569019360175,-33.33354747395073
42,-28.264147866529196,-32.560598136947846
43,-29.329822792077533,-31.83150749440755
44,-28.47406794555714,-31.181329117825094
45,-27.99963914598739,-30.64728364351297
46,-26.06093027157419,-29.927646691820023
47,-27.544409000843274,-29.197184389788504
48,-26.770237397976345,-28.734262950642794
49,-26.967234013412845,-28.226394545677266
50,-26.16802436274989,-27.812008181606803
51,-25.05427035539659,-27.263278315210442
52,-24.95514383907107,-26.93237791246463
53,-24.36163888814955,-26.435559522071827
54,-24.092802500262305,-25.997432977542342
55,-23.06480030865597,-25.503949093809204
56,-22.85864896230604,-25.183720962882386
57,-21.58305177579924,-24.587585240377983
58,-20.831194036635782,-23.99368090424393
59,-20.882519612375958,-23.38520946414024
60,-20.683085556917238,-22.836715583556977
61,-18.85195784300857,-22.21648433231817
62,-19.481350657473506,-21.669105014158415
63,-19.5204812933297,-21.18498925467643
64,-18.52119259268242,-20.627828263918442
65,-17.367524823430045,-20.05810071539585
66,-17.500849422521508,-19.522320761417397
67,-17.273106177445136,-19.091326201581985
68,-17.31017601297263,-18.73922439921567
69,-16.88098029765947,-18.339070467744023
70,-17.213728895674286,-17.992134801619727
71,-16.601239170685762,-17.767062934387447
72,-16.757318042533477,-17.494659672893444
73,-14.11440504152622,-16.9540520477131
74,-15.658593605901721,-16.667792149035026
75,-15.555013516634343,-16.486541018355457
76,-14.845537257592879,-16.22100980186259
77,-14.280054686584176,-15.921704652776494
78,-14.07570300808575,-15.598257352287808
79,-13.73633499664308,-15.283792822186168
80,-13.357234727441316,-14.898143405362873
81,-12.84077966869208,-14.522097455163504
82,-12.365181916085557,-14.082883842518712
83,-13.649387270868692,-14.03638206545296
84,-12.057183400308592,-13.676241044893647
85,-13.664410022937956,-13.487180695524007
86,-12.422857452788422,-13.244912715043563
87,-12.961584144932571,-13.1130656608784
88,-11.458176632488694,-12.851313023318696
89,-11.158564850571135,-12.593536008711501
90,-11.01902120356731,-12.359714656324101
91,-11.148570638143585,-12.19049375326925
