episode,score,score_avg
1,-54.961975650603385,-54.961975650603385
2,-56.042987617913695,-55.502481634258544
3,-54.850498046019695,-55.28515377151226
4,-56.353712074447515,-55.55229334724608
5,57.31930927356754,-32.977972823083356
6,64.80833086272484,-16.680255542115322
7,-55.83943685068196,-22.274424300481986
8,-54.86778570341886,-26.348594475849094
9,-57.508839812343425,-29.810843957681797
10,-54.21154941263689,-32.250914503177306
11,-55.021581077768055,-32.25687504589378
12,-51.42020702517785,-31.794596986620185
13,-52.10884050453249,-31.52043123247147
14,-53.24466681902424,-31.209526706929143
15,-55.222107445281914,-42.463668378814084
16,-52.250797034349866,-54.16958116852155
17,-53.69027376730624,-53.95466486018398
18,-52.3797381753008,-53.705860107372175
19,-53.04939020913183,-53.25991514705102
20,-53.997239407929904,-53.23848414658032
21,-52.83119641090916,-53.01944567989442
22,-53.62335821441795,-53.23976079881844
23,-52.880402494666015,-53.31691699783179
24,-51.117489508558904,-53.10419926678526
25,-53.21990290321825,-52.9039788125789
26,-49.74667065816307,-52.65356617496021
27,-52.33195889187329,-52.51773468741692
28,-52.407279085988655,-52.520488778485706
29,-52.1455752220317,-52.43010727977569
30,-49.67162564832352,-51.997545903815045
31,-51.131411181856336,-51.82756738090977
32,-50.43925526471207,-51.50915708593918
33,-50.27358219622963,-51.24847505609555
34,-50.60985751205654,-51.19771185644531
35,-51.08237615653944,-50.98395918177742
36,-49.286077035848166,-50.93789981954593
37,-47.69075724051979,-50.47377965441059
38,-48.944356647463806,-50.1274874105581
39,-48.10418298534519,-49.723348186889446
40,-49.43924714919457,-49.70011033697655
41,-51.117336300811296,-49.69870284887205
42,-48.19891167959705,-49.47466849036055
43,-50.41251268244974,-49.48856153898256
44,-48.125289733467135,-49.24010476112362
45,-48.65931876579918,-48.99779902204959
46,-48.22524935357983,-48.891716253822764
47,-48.29800536422331,-48.95244106619311
48,-46.79377573299535,-48.73738297474626
49,-48.693985671772076,-48.79636324338895
50,-50.04126353826364,-48.85656488229586
51,-47.71779291674114,-48.516610543888845
52,-47.05525527454251,-48.40224490338339
53,-46.96355285017731,-48.057348920156144
54,-46.37867804849171,-47.8826877516586
55,-46.86793861771738,-47.70354973685042
56,-46.133396001539744,-47.494364401646415
57,-49.90424983284587,-47.654988848508665
58,63.63247368936312,-36.612363906272826
59,-47.18440365730022,-36.461405704825644
60,-47.55878679393109,-36.21315803039238
61,-44.8166049740343,-35.923039236121696
62,67.89002831682498,-24.42851087698495
63,-43.49966708306143,-24.08212230027336
64,-47.05554765854381,-24.149809261278573
65,-44.23296585798176,-23.886311985305014
66,-44.42950458429233,-23.715922843580266
67,-44.28388076270354,-23.153885936566038
68,-43.34315455431171,-33.851448760933515
69,-45.47178834513078,-33.68018722971658
70,-44.42928445738975,-33.367236996062445
71,-42.768752396945615,-33.162451738353575
72,-43.881011925815386,-44.339555762617614
73,-44.04250927226005,-44.393839981537475
74,-44.92606623731385,-44.180891839414485
75,-43.017102137717245,-44.05930546738802
76,-43.771123792879635,-43.99346738824675
77,-44.598335455769096,-44.0249128575533
78,-42.74526421412168,-43.965123823534306
79,-41.41257177704289,-43.55920216672551
80,-41.3554512863707,-43.25181884962361
81,-39.50089443878788,-42.92503305380784
82,-42.692635536412254,-42.80619541486753
83,-39.59832593663975,-42.3617770813055
84,-41.196523512168255,-41.98882280879094
85,-39.81314460120176,-41.66842705513939
86,-40.820620890628994,-41.37337676491433
87,-40.28407501922627,-40.94195072126005
88,-41.733766074769626,-40.84080090732484
89,-41.20700279633473,-40.82024400925402
90,66.6014466045009,-30.024554220166863
91,-40.148623783001746,-30.08932715458825
92,-39.91302914505857,-29.81136651545288
93,-38.978293689970656,-29.749363290785972
94,-39.54167939705998,-29.58387887927514
95,-41.1208799523444,-29.714652414389406
96,-38.962524650832634,-29.528842790409765
97,-37.13169954337007,-29.21360524282415
98,-37.40369989610174,-28.78059862495736
99,-37.457575609176565,-28.40565590624154
100,-37.18335627047523,-38.78413619373915
101,-37.08712420600456,-38.47798623603944
102,-39.168138530885194,-38.403497174622096
103,-34.518884680523534,-37.95755627367738
104,-34.540744809994266,-37.45746281497081
105,-36.180632189979036,-36.96343803873428
106,-35.80504373249923,-36.64768994690095
107,-33.7915451114128,-36.313674503705215
108,-35.55427255428298,-36.12873176952334
109,-33.22491789011326,-35.70546599761701
110,-35.973355025110415,-35.58446587308053
111,-33.68824740480804,-35.24457819296087
112,-34.5801579978685,-34.78578013965921
113,-32.99077460461334,-34.63296913206819
114,-35.382703463359576,-34.717164997404716
115,-33.94673633422129,-34.49377541182894
116,-33.70104098486095,-34.283375137065114
117,-32.62925395685215,-34.16714602160905
118,-32.5190213091665,-33.8636208970974
