episode,score,score_avg
0,-1757.1951752808245,-1757.1951752808245
1,-1645.2782556739235,-1701.236715477374
2,-1751.7626397385459,-1718.078690231098
3,-851.1363358434745,-1501.3431016341922
4,-1308.9701073732006,-1462.8685027819938
5,-1067.3695937119387,-1396.9520179369847
6,-1304.7587729521508,-1383.7815543677227
7,-1150.3081916373776,-1354.5973840264296
8,-1255.7766681537275,-1343.6173044850182
9,-1674.0832207652606,-1376.6638961130425
10,-1188.22684567219,-1359.533255163874
11,-1332.2550507139285,-1357.260071459712
12,-1068.7551948509745,-1335.0673886436552
13,-1692.007107488074,-1360.563082846828
14,-945.6882557981236,-1332.904761043581
15,-811.5283340092079,-1300.3187343539325
16,-981.0837889970143,-1281.5402081564666
17,-1139.1520991332216,-1273.6297576551754
18,-885.4562615120561,-1253.1995736476426
19,-1054.9406372725916,-1243.2866268288901
20,-1208.7592642968932,-1241.6424667083188
21,-1352.0335641505562,-1246.660243864784
22,-1173.756702450536,-1243.4905246728601
23,-1240.4654713566727,-1243.364480784686
24,-1288.69817743586,-1245.177828650733
25,-1676.1007018745124,-1261.7517853131862
26,-1472.6812398771285,-1269.5639873340729
27,-1339.1063895682912,-1272.0476445567235
28,-1236.1112621917803,-1270.8084589579323
29,-1336.951671089521,-1273.0132326956518
30,-1206.0886697016692,-1270.8543758248782
31,-1175.397943843692,-1267.8713623254662
32,-1161.7430670960375,-1264.6553533791198
33,-1608.1762295261556,-1274.7589085599152
34,-1152.536657473955,-1271.2668442431734
35,-1333.12703525207,-1272.9851828823093
36,-1044.808275547702,-1266.8182394408336
37,-1753.4721277720075,-1279.6249207127066
38,-1330.3816391436535,-1280.926375031449
39,-1803.9584631012417,-1294.0021772331936
40,-1420.3214615586214,-1297.0831353874723
41,-1164.2343547825492,-1293.9200691825931
42,-1285.5510606380028,-1293.725441076905
43,-1458.781862826379,-1297.476723389393
44,-1575.0593530799026,-1303.6452262714045
45,-1426.3219192154681,-1306.312110900623
46,-1239.989733749267,-1304.9009964931474
47,-1148.9857053260316,-1301.6527612604993
48,-1063.2119780817025,-1296.786622828279
49,-1064.549897913758,-1292.1418883299884
50,-1487.9699264302278,-1295.9816537829342
51,-1260.515069743626,-1295.2996040898709
52,-1512.5312310549853,-1299.3983140326086
53,-1279.3425565094192,-1299.0269111155126
54,-1471.8294543906013,-1302.1687755386959
55,-1698.0613191467714,-1309.238285245983
56,-1501.3464441287806,-1312.608603822874
57,-1625.3767776610555,-1318.001158544222
58,-1544.0005689456978,-1321.8316570256031
59,-1541.3330355594076,-1325.4900133345
60,-1694.7692745551637,-1331.5437717151665
61,-1356.8511909840706,-1331.9519558969232
62,-1496.672816539295,-1334.5665727325163
63,-1462.6811984226342,-1336.5683637589243
64,-1480.1904760132018,-1338.7779347166825
65,-1277.6432197916972,-1337.851651157213
66,-1262.773004406882,-1336.731074340044
67,-1785.51320866408,-1343.3308116095152
68,-1393.8185955368644,-1344.062518622955
69,-1143.6727713426835,-1341.1998079475225
70,-1520.524817911961,-1343.7255123132188
71,-1723.2648165494218,-1348.9968915387212
72,-1523.68038171813,-1351.389816061727
73,-1712.9661096490615,-1356.2759821912855
74,-1472.2102281754335,-1357.8217721377407
75,-1294.3461279955536,-1356.9865662937646
76,-1351.1824413008594,-1356.9111880471035
77,-1380.2525967795498,-1357.2104368770067
78,-1333.3705733854058,-1356.9086664530623
79,-1829.794762930378,-1362.819742659029
80,-1695.2532423192617,-1366.923859938785
81,-1787.7281260703958,-1372.0556192818533
82,-1581.8205507171706,-1374.5829076123991
83,-1349.343093972148,-1374.2824336404915
84,-1299.34481705835,-1373.400814621878
85,-1362.3397637629312,-1373.272197751425
86,-1429.246210857083,-1373.9155772124095
87,-1380.587627484377,-1373.9913959655003
88,-1357.3233822297589,-1373.8041149122898
89,-1555.783506450183,-1375.8261081515998
90,-1801.5934495355664,-1380.5048701448302
91,-1187.9760200008686,-1378.412165251961
92,-1280.052184073566,-1377.3545310457416
93,-1852.7155975523137,-1382.411563668152
94,-1462.5846069380457,-1383.255490439414
95,-1614.6777140918396,-1385.66613860246
96,-1354.1325077969757,-1385.341049625084
97,-1660.7268200558099,-1388.1511085070301
98,-1621.6789670648072,-1390.5099757651894
99,-1651.8193927381915,-1393.1230699349194
100,-1155.0468157274981,-1387.1015863393861
101,-1744.6306192042855,-1388.0951099746899
102,-1523.0191182900205,-1385.8076747602047
103,-1802.8276582915937,-1395.3245879846854
104,-1825.5560578705813,-1400.4904474896598
105,-1441.821762631348,-1404.234969178854
106,-1515.1218974462054,-1406.3386004237943
107,-1424.6694771717025,-1409.0822132791377
108,-1771.370419511767,-1414.2381507927182
109,-1413.7413546940036,-1411.6347321320054
110,-1418.6851337064707,-1413.9393150123483
111,-1793.5055774333432,-1418.5518202795427
112,-1349.5463078527787,-1421.3597314095605
113,-1376.485347565423,-1418.2045138103335
114,-1346.0259641849552,-1422.207890894202
115,-1742.5113906796782,-1431.5177214609073
116,-1811.113460106268,-1439.8180181719997
117,-1693.3076399835495,-1445.3595735805031
118,-1214.8248436993067,-1448.6532594023756
119,-1156.4641413005902,-1449.6684944426554
120,-1697.6533568011462,-1454.557435367698
121,-1538.9152706948175,-1456.4262524331405
122,-1711.4102525994804,-1461.8027879346298
123,-1756.6838099941174,-1466.9649713210047
124,-1622.318264465529,-1470.301172191301
125,-1814.4731877818788,-1471.6848970503747
126,-1389.1801065005654,-1470.8498857166092
127,-1507.6477597290739,-1472.5352994182167
128,-1410.5222593136782,-1474.2794093894358
129,-1449.8763989215718,-1475.4086566677565
130,-1408.823174135411,-1477.4360017120937
131,-1663.190422213289,-1482.3139264957895
132,-1777.3850596292993,-1488.4703464211225
133,-1780.4097456217914,-1490.1926815820789
