episode,score,score_avg
1,-1534.243816385368,-1534.243816385368
2,-1615.309349817419,-1574.7765831013935
3,-1793.1306087580383,-1647.5612583202753
4,-1524.780694227926,-1616.8661172971879
5,-1510.1689139396524,-1595.5266766256807
6,-1326.7484823039617,-1550.7303109053944
7,-1599.2710405963096,-1557.6647008612395
8,-1330.3568765080388,-1529.2512228170892
9,-1351.478163645976,-1509.4986606869654
10,-1360.711502129208,-1494.6199448311897
11,-1582.3883549677776,-1499.4343986894305
12,-1628.5111340922826,-1500.7545771169173
13,-1484.8432179807137,-1469.9258380391846
14,-1569.4324321690904,-1474.391011833301
15,-1352.8195856562643,-1458.656079004962
16,-1560.9868645776346,-1482.0799172323298
17,-1395.5989592354063,-1461.7127090962392
18,-1892.6998386624423,-1517.9470053116797
19,-1352.6393781910579,-1518.0631267661877
20,-1666.2701578734452,-1548.6189923406114
21,-1341.578627258798,-1524.5380195697135
22,-1289.2114935595268,-1490.6080555164378
23,-1186.9423350846118,-1460.8179672268277
24,-1317.3462580648027,-1435.609349816399
25,-1274.5771669808828,-1427.785107948861
26,-1509.7494251405303,-1422.6613640051503
27,-1507.2589509472796,-1433.8273631763377
28,-975.1378463008925,-1342.071163940183
29,-1296.5663858388466,-1336.4638647049617
30,-1477.3473341228153,-1317.5715823298988
31,-1160.565484417421,-1299.4702680457608
32,-1549.9716479204174,-1325.54628348185
33,-1425.61597054301,-1349.4136470276899
34,-1335.1145173663263,-1351.1904729578423
35,-1379.1958549445555,-1361.6523417542094
36,-1083.7170987020634,-1319.0491091103627
37,-1191.1681978694478,-1287.4400338025796
38,-1043.6627489027314,-1294.2925240627633
39,-1145.3037940160957,-1279.1662648804884
40,-1331.1277498413122,-1264.544306452338
41,-1074.1028440345103,-1255.898042414047
42,-1059.352574759767,-1206.836135097982
43,-1170.255598996684,-1181.3000979433493
44,-1242.1628234445316,-1172.00492855117
45,-1199.6416949177585,-1154.04951254849
46,-1218.9083843571552,-1167.5686411139993
47,-947.8597699791983,-1143.2377983249746
48,-848.6954113748119,-1123.7410645721825
49,-1008.636968451701,-1110.0743820157431
50,-1425.2231849458663,-1119.4839255261984
51,-1125.6455614363845,-1124.6381972663858
52,-1102.861817579606,-1128.9891215483697
53,-1151.4525747810876,-1127.10881912681
54,-1086.21448716677,-1111.5139854990339
55,-1539.50521914515,-1145.500337921773
56,-1224.448139518956,-1146.054313437953
57,-1583.441835428288,-1209.612519982862
58,-1153.7269523897683,-1240.1156740843576
59,-1232.3874377154536,-1262.490721010733
60,-1218.525826861502,-1241.8209852022965
61,-1254.6352187967066,-1254.7199509383286
62,-1290.3434171311746,-1273.4681108934856
63,-1283.7012097034722,-1286.692974385724
64,-1180.3501077088906,-1296.1065364399365
65,-1505.4378022286473,-1292.699794748286
66,-1415.8449319298113,-1311.8394739893715
67,-1518.7680213785209,-1305.3720925843945
68,-1345.1241613720533,-1324.5118134826234
69,-1334.0326874122431,-1334.6763384523024
70,-1237.473227832927,-1336.5710785494446
71,-1174.6743990614875,-1328.5749965759228
72,-1284.2229729204744,-1327.9629521548527
73,-1127.0347806255204,-1312.2963092470575
74,-902.1478143819814,-1284.476079914367
75,-878.2636723595637,-1221.7586669274585
76,-1104.2838329966578,-1190.602557034143
77,-1231.0716405440116,-1161.832918950692
78,-1216.1289045412775,-1148.9333932676145
79,-1192.2906303773816,-1134.7591875641283
80,-1150.0221299728921,-1126.0140777781248
81,-786.8829875014596,-1087.2349366221222
82,-1382.7487396249523,-1097.0875132925698
83,-1267.563804049111,-1111.140415634929
84,-1388.8877938510052,-1159.814413581831
85,-1000.8970592156671,-1172.0777522674418
86,-1235.2664774154166,-1185.1760167093175
87,-857.4024682920559,-1147.8090994841218
88,-1238.6333942098925,-1150.0595484509831
89,-1235.4129601027362,-1154.3717814235188
90,-958.2234023635078,-1135.1919086625805
91,-911.9215769616123,-1147.6957676085958
92,-526.7910338319584,-1062.0999970292964
93,-898.4074665550569,-1025.1843632798907
94,-786.7657664185887,-964.9721605366492
95,-1162.5907384944746,-981.14152846453
96,-683.2556480109035,-925.9404455240787
97,-935.5445732580847,-933.7546560206816
98,-782.9413118357106,-888.1854477832633
99,-778.1955856298273,-842.4637103359725
100,-1016.2035615821309,-848.2617262578348
101,-399.008486050158,-796.9704171666893
102,-931.6980178666482,-837.4611155701584
103,-790.8594013432762,-826.7063090489803
104,-521.6829745488288,-800.1980298620043
105,-535.4519541921741,-737.4841514317743
106,-694.7746546302977,-738.6360520937137
107,-499.3763748598709,-695.0192322538924
108,-1357.9562856101381,-752.5207296313351
109,-542.7356657809621,-728.9747376464486
110,-1215.4283254846046,-748.8972140366959
111,-1080.1759054588056,-817.0139559775607
112,-528.7566225142,-776.7198164423158
113,-807.1122979161034,-778.3451060995986
114,-1121.8054248323142,-838.3573511279471
115,-405.0053988150551,-825.3126955902351
116,-818.7639903243692,-837.7116291596424
117,-782.9808528060779,-866.0720769542629
118,-1043.4898959716995,-834.6254379904191
119,-1024.866573531945,-882.8385287655174
120,-510.963309272873,-812.3920271443443
121,-1263.7092941710591,-830.7453660155697
122,-1216.7465682556021,-899.5443605897096
123,-1252.1844112610772,-944.0515719242072
124,-1241.3137729515186,-956.0024067361277
125,-703.9245639370265,-985.8943232483249
126,-529.8771892016623,-957.0056431360542
127,-531.4224572935299,-931.8498035847994
128,-649.3246591819744,-892.4332799058269
129,-831.9008362776511,-873.1367061803974
130,-542.2568664686122,-876.2660618999713
131,-531.1254442838912,-803.0076769112545
132,-414.65104258330956,-722.7981243440253
133,-523.8349789818037,-649.9631811160979
134,-903.6496263806378,-616.1967664590098
135,-536.1072902663581,-599.415039091943
136,-1210.3232150917493,-667.4596416809517
137,-839.061321094281,-698.2235280610269
138,-786.1536938027883,-711.9064315231083
139,-1354.7463995593598,-764.190987851279
140,-525.9633462096946,-762.5616358253874
141,-263.9177924222248,-735.8408706392207
142,-891.4747715347775,-783.5232435343676
143,-805.1025005380827,-811.6499956899954
144,-529.2280723754252,-774.2078402894742
145,-948.8083801450131,-815.4779492773397
146,-895.9447342246972,-784.0401011906345
147,-264.7284008060812,-726.6068091618145
