episode,score,score_avg
1,-1197.642940677311,-1197.642940677311
2,-1238.7275416283899,-1218.1852411528503
3,-1054.121130689049,-1163.4972043315831
4,-1769.1008950123176,-1314.8981270017669
5,-1658.2012050110131,-1383.558742603616
6,-1412.3845975500153,-1388.3630517613492
7,-1710.1626040619396,-1434.3344163757192
8,-1455.145434839583,-1436.9357936837023
9,-1172.598518864659,-1407.5649853704754
10,-1746.3245103485765,-1441.4409378682853
11,-899.659315402984,-1411.6425753408528
12,-1182.2961337643912,-1405.9994345544528
13,-1582.321185211776,-1458.8194400067255
14,-1279.373263538052,-1409.8466768592994
15,-983.494963213613,-1342.3760526795588
16,-1157.9968781389127,-1316.9372807384484
17,-1428.3467713272796,-1288.7556974649829
18,-1537.9876390548484,-1297.0399178865093
19,-1136.3267444300207,-1293.4127404430453
20,-1694.912637999629,-1288.2715532081506
21,-857.5396362620328,-1284.0595852940555
22,-925.5677991251529,-1258.3867518301317
23,-1026.6184358817839,-1202.8164768971326
24,-901.7776592343681,-1165.0569164667643
25,-1171.0593625468887,-1183.8133564000918
26,-1073.1324572124383,-1175.3269143074442
27,-1285.881933360285,-1161.0804305107445
28,-1194.381799665947,-1126.7198465718548
29,-888.61803217906,-1101.9489753467585
30,-924.4899263368632,-1024.906704180482
31,-1028.184247624435,-1041.9711653167221
32,-1806.822380505071,-1130.096623454714
33,-1202.608322727262,-1147.695612139262
34,-1812.2889606972333,-1238.7467422855482
35,-1606.8034908127474,-1282.3211551121342
36,-1761.7309834220885,-1351.1810077330995
37,-1552.942983591046,-1377.8871127561754
38,-1206.1311225072623,-1379.0620450403067
39,-1431.3501666700893,-1433.3352584894096
40,-1344.420372263194,-1475.3283030820426
41,-1364.489721079128,-1508.958850427512
42,-911.9527533438048,-1419.4718877113855
43,-1293.4582325242136,-1428.5568786910808
44,-1810.7653336065016,-1428.4045159820075
45,-1362.6466625352327,-1403.988833154256
46,-1069.986242057358,-1334.8143590177829
47,-892.8674748268088,-1268.8068081413594
48,-1391.7590543374104,-1287.3696013243741
49,-893.9220473264285,-1233.626789390008
50,-1068.0355407502475,-1205.9883062387132
51,-1619.4897586037132,-1231.4883099911717
52,-1693.0000036336962,-1309.593035020161
53,-921.8549041995739,-1272.4327021876973
54,-1267.1828305272875,-1218.0744518797758
55,-827.2923375313168,-1164.5390193793842
56,-1323.9491218430976,-1189.935307357958
57,-965.8153359271488,-1197.230093467992
58,-1473.3582692380967,-1205.3900149580606
59,-1261.8735836158241,-1242.1851685870001
60,-1041.7013777468112,-1239.5517522866567
61,-1089.546167695552,-1186.5573931958402
62,-1185.87562287349,-1135.8449551198198
63,-1158.6915771618299,-1159.5286224160452
64,-1168.4981430775174,-1149.6601536710684
65,-1383.4343077232513,-1205.2743506902618
66,-1219.0908162089147,-1194.7885201268437
67,-1141.4694297301492,-1212.3539295071437
68,-1239.0171890850759,-1188.9198214918417
69,-1485.3734871289591,-1211.2698118431551
70,-993.6440468740111,-1206.464078755875
71,-1577.6398172597756,-1255.2734437122974
72,-1698.3338542425026,-1306.5192668491986
73,-1109.4899709029364,-1301.5991062233093
74,-1307.4697526148975,-1315.4962671770472
75,-1189.5353699239386,-1296.1063733971162
76,-1161.3274539789313,-1290.3300371741177
77,-1114.6082461579529,-1287.6439188168981
78,-1009.5616629755641,-1264.698366205947
79,-951.4206556933485,-1211.303083062386
80,-1130.778614710587,-1225.0165398460435
81,-1036.6436758857762,-1170.9169257086435
82,-1549.4226866575934,-1156.0258089501526
83,-1461.335106824441,-1191.2103225423032
84,-962.519137578338,-1156.715261038647
85,-1305.8014776305945,-1168.341871809313
86,-964.1397212789458,-1148.623098539314
87,-1108.8800574514253,-1148.0502796686615
88,-993.8350697897323,-1146.4776203500783
89,-1363.601451155133,-1187.6956998962567
90,-945.4069738012372,-1169.1585358053217
91,-1466.7214086849747,-1212.1663090852412
92,-966.5043104499864,-1153.8744714644806
93,-1575.9215759784556,-1165.3331183798823
94,-1242.2887707136924,-1193.310081693418
95,-1196.660545013785,-1182.3959884317367
96,-983.8258923097351,-1184.3646055348156
97,-859.0647265730087,-1159.383072446974
98,-1170.35308757385,-1177.034874225386
99,-1512.2095300827052,-1191.8956821181432
100,-966.7088725890262,-1194.025871996922
101,-976.7567036265673,-1145.029401491081
102,-1287.215536766025,-1177.100524122685
103,-1103.6415094674649,-1129.872517471586
104,-1293.144825127975,-1134.958122913014
105,-1292.3118879150993,-1144.5232572031455
106,-1129.5920199741743,-1159.0998699695897
107,-1523.309947992665,-1225.524392111555
108,-966.2721414346587,-1205.1162974976362
109,-1259.7726713419313,-1179.8726116235587
110,-1184.515483989184,-1201.6532727635745
111,-979.7726875806587,-1201.9548711589837
112,-1661.5555595797216,-1239.3888734403533
113,-1322.6482395898558,-1261.2895464525923
114,-1106.8814427509415,-1242.6632082148892
115,-914.2520373238895,-1204.857223155768
116,-1133.206614657009,-1205.2186826240516
117,-1342.0671680609848,-1187.0944046308834
118,-1148.948640798106,-1205.3620545672281
119,-761.4881200316926,-1155.5335994362042
120,-1215.6467983277355,-1158.6467308700594
121,-1271.9198144062027,-1187.8614435526138
122,-1186.9431696233614,-1140.4002045569778
123,-981.2136399299727,-1106.2567445909897
124,-863.4856576722426,-1081.9171660831196
125,-1482.1335458457631,-1138.705316935307
126,-749.3433654918003,-1100.3189920187863
127,-870.2326005519151,-1053.1355352678793
128,-1460.6562486746382,-1084.3062960555324
129,-1194.1151709358162,-1127.5690011459449
130,-1185.6268156196193,-1124.567002875133
131,-1211.9016791542024,-1118.565189349933
132,-1052.1498711020442,-1105.0858594978013
133,-999.7522025130704,-1106.9397157561111
134,-1412.6470896618805,-1161.855858955075
135,-1676.52959278031,-1181.2954636485297
136,-1196.813495215087,-1226.0424766208585
137,-1191.219810405722,-1258.1411976062388
138,-1373.2018329323237,-1249.3957560320075
139,-1109.1760744274948,-1240.9018463811753
140,-1348.5934826252972,-1257.1985130817432
141,-1302.1155170686711,-1266.21989687319
142,-1384.5593414235018,-1299.4608439053359
143,-1420.4756732314172,-1341.5331909771703
144,-1408.481313345106,-1341.116613345493
145,-1450.758550193941,-1318.5395090868562
146,-1366.0558223657292,-1335.4637418019206
147,-1495.5944007959245,-1365.9012008409406
148,-1450.553309308291,-1373.6363484785375
149,-1300.9046435029545,-1392.8092053860832
150,-1176.9887660887182,-1375.6487337324254
151,-1191.468775533443,-1364.5840595789027
152,-1174.3669064253834,-1343.5648160790909
153,-1256.5423066761493,-1327.1714794235638
154,-1046.4018917529295,-1290.9635372643465
155,-1209.3160851211019,-1266.8192907570624
156,-1054.6974746118422,-1235.6834559816737
157,-883.1855815077068,-1174.442574052852
158,-1203.2593653443205,-1149.713179656455
159,-799.7017419016878,-1099.5928894963286
160,-972.96852035534,-1079.1908649229904
161,-1039.7298024594147,-1064.0169676155879
162,-1363.677453510979,-1082.9480223241474
163,-1678.6453299595291,-1125.1583246524851
164,-1064.6140016823679,-1126.979535645429
165,-1177.467543178212,-1123.7946814511401
166,-957.7798542918551,-1114.1029194191412
